Energy,6E,6E,6E,6E,9E,9E,9E,9E,12E,12E,12E,12E
Cone,A6,A10,A15,A20,A6,A10,A15,A20,A6,A10,A15,A20
0,75.9,76.8,76.8,77.6,79.1,79.7,79.1,80.1,85,84.7,84.3,86
1,77.6,78.6,78.6,79.1,80,80.9,80.2,81.2,85.7,85.6,85.2,86.8
2,79.8,80.9,80.9,81.2,81.4,82.3,81.5,82.4,86.7,86.6,86.2,87.7
3,82.1,83.4,83.4,83.4,82.7,83.6,82.8,83.7,87.8,87.6,87.2,88.7
4,84.4,85.8,85.8,85.6,83.9,84.9,84.1,84.9,88.8,88.6,88.1,89.6
5,86.9,88.3,88.3,87.9,85.1,86.1,85.4,86,89.6,89.2,88.8,90.4
6,89.3,90.8,90.8,90,86.4,87.3,86.5,87.1,90.2,90,89.6,90.8
7,91.7,93,93,92.3,87.6,88.3,87.6,88.2,90.9,90.5,90.1,91.5
8,93.9,95.2,95.2,94.5,88.6,89.4,88.7,89.3,91.5,91.1,90.7,92.1
9,96,97.1,97.1,96.5,89.8,90.6,89.9,90.4,92.1,91.8,91.3,92.6
10,97.7,98.6,98.6,98.1,91,91.8,91.2,91.5,92.7,92.3,91.9,92.9
11,99,99.8,99.8,99.4,92.3,92.9,92.4,92.7,93.2,92.8,92.3,93.4
12,100,100,100,100,93.3,94.1,93.5,93.7,93.6,93.4,93,94
13,99.9,99.6,99.6,100,94.4,95.3,94.7,94.8,94.1,93.8,93.5,94.4
14,99,98.2,98.2,99.1,95.6,96.4,95.7,95.9,94.6,94.3,94,94.8
15,97.3,96.1,96.1,97.4,96.7,97.3,96.8,96.9,95.2,94.9,94.5,95.3
16,94.8,93.1,93.1,94.9,97.7,98.2,97.8,97.8,95.7,95.4,94.9,95.8
17,91.3,89.2,89.2,91.6,98.7,99,98.7,98.7,96.1,95.7,95.6,96.2
18,86.9,84.4,84.4,87.1,99.2,99.6,99.3,99.5,96.7,96.4,96,96.7
19,81.4,78.7,78.7,82,99.7,99.9,99.7,99.8,97.2,96.9,96.5,97.2
20,75.1,72.2,72.2,75.8,99.9,100,99.9,99.9,97.6,97.4,97.1,97.6
21,68.1,65.2,65.2,69,99.9,99.7,99.8,99.8,98.1,97.8,97.6,97.9
22,60.6,57.7,57.7,61.8,99.4,99.1,99.3,99.3,98.5,98.2,98,98.4
23,52.8,49.9,49.9,54.2,98.5,98,98.4,98.4,98.9,98.7,98.4,98.8
24,44.8,41.9,41.9,46.3,97.1,96.6,97.1,97,99.2,99.2,98.8,99.1
25,36.9,34.4,34.4,38.6,95.3,94.5,95.3,95.3,99.5,99.5,99.3,99.4
26,29.5,27.4,27.4,31,93,92.1,92.8,93,99.8,99.8,99.5,99.6
27,22.7,20.8,20.8,24.2,90.2,89.1,89.9,90.1,99.9,100,99.7,99.9
28,16.7,15.2,15.2,18.1,87,85.7,86.6,86.9,100,100,100,100
