Energy,F2,F2,F2,F2,F2,F3,F3,F3,F3,F3,F4,F4,F4,F4,F4
Cone,D2,D3,D4,D5,D10,D2,D3,D4,D5,D10,D2,D3,D4,D5,D10
0,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
1,93,92.3,92.4,93.7,93.3,96,95.4,96,96,96.3,97.8,97.6,98.2,97.8,98.3
2,86.4,85.5,85.9,87.8,87.7,91.8,91.1,92,92.2,93.1,95.2,95.1,96.1,95.6,96.8
3,80.6,79.7,80.1,82.3,82.6,87.6,87.1,88.2,88.4,89.8,92.5,92.6,93.9,93.4,95.5
4,75,74.4,75.2,77.3,79,83.5,83.3,84.3,84.9,87.1,89.5,90,91.4,91.2,94.2
5,69.9,69.7,70.6,72.7,74.7,79.5,79.6,80.8,81.3,84.5,86.6,87.5,89,89,92.3
7,61.4,61.7,62.7,64.5,68.1,72.1,72.9,74.2,75,79.2,81.1,82.4,84.3,84.5,89.8
10,50.9,51.7,52.9,54.7,59.4,62.5,63.8,65.6,66.6,72.6,73.5,75.1,77.4,78,84.7
15,38.3,39.3,40.9,42.6,49.3,50,51.8,53.7,54.9,63.4,61.9,64.2,66.9,68,77.7
20,29.1,30.6,32.1,33.7,40.6,40.3,42.2,44.4,45.7,54.8,52.1,54.9,57.6,59.1,70
25,22.7,24,25.5,26.9,34.1,32.7,34.7,36.9,38.3,48.2,44.1,46.9,49.8,51.4,63.7
30,17.9,19.1,20.6,21.9,29,26.8,28.9,31,32.4,42.3,37.4,40.2,42.9,44.7,57.9
35,14.2,15.5,16.7,17.8,24.6,22.2,24.1,26.1,27.4,37.6,31.7,34.4,37,38.8,52.2
40,11.5,12.6,13.6,14.8,21,18.4,20.2,22,23.4,33,27,29.5,32,33.8,47.1
50,7.6,8.4,9.2,10.1,15.9,13.1,14.4,15.9,17.1,26.4,19.8,21.8,24.2,25.8,37.6
60,5,5.8,6.5,7.1,12.3,9.3,10.5,11.7,12.7,21.1,14.7,16.4,18.3,19.6,30.6
70,3.5,4,4.5,5.2,9.4,6.8,7.8,8.7,9.7,16.5,11,12.4,14.1,15.2,24.8
80,2.5,2.9,3.3,3.7,7.2,4.9,5.7,6.6,7.3,13.2,8.2,9.5,10.7,11.8,20.4
